Caught,Category,Subcategory,Aircraft,ICAO Code,Rarity,Observed Aircraft,"Paper
(0 XP)","Bronze
(15,000 XP)","Silver
(50,000 XP)","Gold
(100,000 XP)","Platinum
(350,000 XP)","Cyber
(750,000 XP)",Glow
FALSE,Jet & Rocket,Single Engine,CIRRUS SJ-X Vision,SF50,5.19,622,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,DASSAULT Mirage 2000,MIR2,12.85,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,DASSAULT Mirage F1,MRF1,8.30,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,DASSAULT Mirage III,MIRA,14.07,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,DE HAVILLAND DH-100 Vampire,VAMP,12.71,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,DE HAVILLAND DH-112 Venom,VNOM,15.58,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,DOUGLAS A-4 Skyhawk,A4,8.88,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,FIAT G-91R,G91,13.87,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,FOLLAND Fo-144 Gnat,GNAT,14.17,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,HAWKER Hunter,HUNT,7.82,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,HINDUSTAN LCA Tejas,LCA,11.59,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,IAI Kfir,KFIR,9.63,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,JONKER JS-1 Revelation (jet),JS1J,10.99,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,JONKER JS-1TJ Revelation,TS1J,11.47,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,JONKER JS-3 Rapture (jet),JS3J,8.75,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,LOCKHEED F-104 Starfighter,F104,14.11,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,LOCKHEED MARTIN F-16 Fighting Falcon,F16,8.75,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,LOCKHEED MARTIN F-35 Lightning II,F35,11.40,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,LOCKHEED MARTIN X-59 QueSST,X59,15.75,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,LOCKHEED T-33 Shooting Star,T33,11.63,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,LOCKHEED U-2,U2,9.98,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,MIKOYAN MiG-15,MG15,12.15,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,MIKOYAN MiG-17,MG17,11.62,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,MIKOYAN MiG-21,MG21,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,NORTH AMERICAN F-86 Sabre,F86,13.08,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,NORTHROP GRUMMAN RQ-4 Global Hawk,Q4,7.56,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,PZL-MIELEC TS-11 Iskra,TS11,12.91,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,RUTAN 339 Space Ship Two,SS2,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SAAB 29 Tunnan,SB29,14.51,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SAAB 32 Lansen,SB32,14.32,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SAAB 35 Draken,SB35,15.89,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SAAB 37 Viggen,SB37,13.22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SAAB JAS 39 Gripen,SB39,13.83,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SCHEMPP-HIRTH Ventus 3F,VNTE,9.64,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SIAI-MARCHETTI S-211,S211,9.25,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SOKO G-2 Galeb,G2GL,13.98,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,SONEX JSX SubSonex,JSX,12.30,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,STRATOS 716,S716,15.64,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Single Engine,VIPER ViperJet,VIPJ,16.84,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AERMACCHI M-346 Master,M346,7.81,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AEROSPATIALE CM-170R Magister,FOUG,11.08,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIR Epic Elite,ELIT,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A220-100,BCS1,4.63,78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A220-300,BCS3,3.04,424,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A300,A30B,9.14,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A300-600,A306,4.68,173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A300ST Beluga,A3ST,10.41,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A310,A310,6.65,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A318,A318,6.95,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A319,A319,2.03,979,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A319neo,A19N,6.04,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A320,A320,0.47,"3,951",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A320neo,A20N,1.06,"2,245",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A321,A321,1.24,"1,651",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A321neo,A21N,1.12,"2,010",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A330-200,A332,2.54,493,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A330-300,A333,1.98,702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A330-700 Beluga XL,A337,8.18,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A330-800neo,A338,6.45,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A330-900neo,A339,3.23,197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A350-1000,A35K,3.50,102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,AIRBUS A350-900,A359,1.84,633,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,ANTONOV An-148,A148,8.32,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,ANTONOV An-178,A178,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,ANTONOV An-72,AN72,9.89,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,ANTONOV An-74-300,A743,11.14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BAC Canberra,CNBR,14.00,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BEECH 400 Beechjet,BE40,5.01,448,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BERIEV Altair,BER2,10.00,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 717-200,B712,4.50,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737 MAX 10,B3XM,10.88,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737 MAX 7,B37M,14.81,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737 MAX 8,B38M,1.09,"1,829",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737 MAX 9,B39M,2.81,282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-200,B732,6.78,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-300,B733,4.41,237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-400,B734,4.58,258,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-500,B735,5.23,88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-600,B736,6.95,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-700,B737,2.19,803,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-800,B738,0.28,"1,434",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 737-900,B739,2.36,535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 757-200,B752,3.15,508,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 757-300,B753,4.90,51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 767-200,B762,5.25,159,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 767-300,B763,2.37,696,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 767-400,B764,4.62,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 777-200,B772,2.74,281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 777-200LR,B77L,2.34,360,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 777-300,B773,5.37,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 777-300ER,B77W,1.54,778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 777-9,B779,9.84,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 787-10 Dreamliner,B78X,3.44,131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 787-8 Dreamliner,B778,2.39,388,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING 787-9 Dreamliner,B789,1.68,726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING E-7 Wedgetail,E737,14.05,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING E-767,E767,10.80,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING F-15 Strike Eagle,F15,9.20,89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING F-18 Hornet,F18H,14.14,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING FA-18E/F Super Hornet,F18S,11.32,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING MD-81,MD81,10.18,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Jet & Rocket,Twin Engine,BOEING MD-82,MD82,7.28,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
